AD,CAD,Ward,AG,Age,GN,Gender,NH,CH,CH_YN,PT,Pets,DG,CT,NumPets,DGO,CTO,PetOut,YUP,RO,Rent_Own,IC,Income,Income_Coll,DGR,Degree,Edu_Coll,NS,MM,MMT,DC,ConcernScore,DL,DK,MG,LK,PM,SK,KS,KSP,GAT21,GAT2021,GATPr,GATPrev,GATSm,NumSummers,Summ1,Summ2,Summ3,Summ4,Summ5,New GAT,CHM,CHMN,EC,EmptyConts,ECT,UD,Dunks,FP,KnowUPProg,UPD,WhatProgDo (Overall Score),Did They Check GAT?,BCI,BlockCapInt,BCH,BlockCapHelp,PE,PF,EffectFavScore,PC,OCT,IMC,IMC_Score,GATNo,NoGATReason,GATNoT,TOD,TimeOut,AOD,OutAct,OutActA,OutActB,OutActC,OutActD,OutActE,OutActF,OutActG,OutActH,NumOut,AODT,OOD,OtherOutA,OtherOutB,OtherOutC,OtherOutD,OtherOutE,OtherOutF,OtherOutG,NumOtherOut,OODT,UPF,KN,IN,IN_Coll,Gift card email,Other comments
,,,50 - 65,3,Female,2,2,0,No,No,0,,,0,,,0,12,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,3,8,I don't know,0,water,1,tiger,1,2,,No,0,Yes,1,"20,162,017",2,2016,2017,,,,No,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,,No,0,Somewhat,1,"Print education,GAT deployment efforts,Chemical-spraying,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",0,,Yes,2,Yes,2,5,5,10,"More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,I do not want to maintain it,I do not want to maintain it,,4 -6 hours,5,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,"Hiking,Other outdoor activities (please describe)","Hiking,Other outdoor activities ",Hiking,Other outdoor activities,,,,,2,"walking, visiting local attractions",Yes,Yes,Daily,Daily,,
,,,50 - 65,3,Female,2,2,0,No,No,0,,,0,,,0,30,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,2,6,west nile virus,1,"small amounts of still water, vines, greenery",1,tiger mosquitos,1,3,,Yes,1,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,,No,0,Yes,2,"In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,Yes,2,Yes,2,4,4,8,"Battery-powered or active traps,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,"I do not want to maintain it,It does not fully eliminate mosquitoes from the yard",It does not fully eliminate mosquitoes from the yard,,4 -6 hours,5,"Landscaping (such as lawn mowing),Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,4,,Other outdoor activities (please describe),Other outdoor activities,Other outdoor activities,,,,,,1,tennis,Yes,Yes,Weekly,Weekly,,
,,,18 - 35,1,Male,1,3,1,Yes,Yes,1,1,,1,1,,1,3,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,5,10,"Zika, dengue Fever, ",0,Standing water and moist areas,1,Tiger mosquitoes,1,2,,No,0,Yes,1,"20,192,020",2,2019,2020,,,,Yes,Yes,1,"Yes, regularly",1,,No,0,Yes,2,"GAT deployment efforts,Door-to-door canvassing",1,,Yes,2,Somewhat,1,2,2,4,"Town-wide chemical spray,Battery-powered or active traps,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,"I do not think it works,I do not want to maintain it",I do not think it works,,More than 8 hours per week,9,"Play with or supervise children playing outdoors,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Play with or supervise children playing outdoors,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Play with or supervise children playing outdoors,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,,5,,"Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Camping or backpacking,Outdoor-focused travel ",Camping or backpacking,Outdoor-focused travel,,,,,2,,Yes,Yes,Daily,Daily,,
,,,65+,4,Female,2,1,0,No,No,0,,,0,,,0,32,Own,2,"Less than $50,000",1,"Up to $100,000",Graduate degree or professional degree,5,Graduate degree or professional degree,1,My backyard,,5,6,"dengue fever, encephalitus",0,water,1,Asian tiger,1,3,,Yes,1,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,4,4,8,"More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",3,NA (I have a GAT),,,6- 8 hours,7,Exercise (including walks around the neighborhood),Exercise,Exercise,,,,,,,,1,,Hiking,Hiking,Hiking,,,,,,1,,Yes,Yes,Daily,Daily,,
,,,35 - 50,2,Male,1,1,0,No,Yes,1,1,0,1,1,0,1,4,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,3,"Around town (not in a specific location, but not when I am in my own yard)",,2,5,"West Nile, malaria, dengue?",1,Still water,1,Zebra,0,2,,Yes,1,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,No,0,"Yes, regularly",1,,No,0,Yes,2,"GAT deployment efforts,Block-captain organizing",1,,Yes,2,Somewhat,1,3,2,5,More town-sponsored distribution of GATs,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,They make being outside unpleasant",4,NA (I have a GAT),,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Home improvement projects (such as painting or renovating the exterior of your home) ,Other (please describe)","Landscaping ,Home improvement projects  ,Other ",Landscaping,Home improvement projects,Other,,,,,,3,Walking dog,,,#VALUE!,,,,,,1,,Somewhat,Somewhat,Weekly,Weekly,,
,,,35 - 50,2,Female,2,4,2,Yes,Yes,1,1,3,4,1,0,1,12 years,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,4,Near the creek,,3,7,West Nile,1,Water,1,I don’t know,0,2,,Yes,1,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,Yes,1,"Sometimes, if I remember (enter approximately how often, if desired)",0,Once every few weeks maybe but undone have bird baths or ponds.,No,0,Yes,2,"Print education,In-person education,GAT deployment efforts,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,4,5,9,"Battery-powered or active traps,Other (please describe)",Deployment of traps near the play grounds which are both near the creek. It is really bad near the tot lot and new playground.,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,NA (I have a GAT),,,More than 8 hours per week,9,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Play with or supervise children playing outdoors,Landscaping ,Exercise ,Sitting in an outdoor space, such as a patio or porch",Play with or supervise children playing outdoors,Landscaping,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,5,,,,#VALUE!,,,,,,1,,Yes,Yes,Weekly,Weekly,,
,,,35 - 50,2,Male,1,2,0,No,Yes,1,1,0,1,1,0,1,4,Rent,1,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,1,5,"Zika, west Nile",1,in standing water,1,aedes,0,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,No,0,Yes,2,"Print education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,No,0,,#N/A,2,3,5,"More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,Neighbors do not clean yards,I do not think it works,neighbors yards are massive trash piles. why bother,6- 8 hours,7,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,5,,"Hiking,Camping or backpacking","Hiking,Camping or backpacking",Hiking,Camping or backpacking,,,,,2,,Yes,Yes,Weekly,Weekly,,
,,,65+,4,Prefer to self-identify,2,2,0,No,No,0,,,0,,,0,21,Own,2,"$50,000 - $100,000",2,"Up to $100,000",Graduate degree or professional degree,5,Graduate degree or professional degree,3,Other (please describe),front yard,4,7,West Nile virus,1,in standing water,1,don't know,0,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,once a year,I don't know what this is,#N/A,Somewhat,1,"Print education,Chemical-spraying,Door-to-door canvassing",0,,Not sure,1,,#N/A,3,4,7,More volunteers to assist residents with mosquito control in their yards,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,Don't know what it is,I do not know what it is,No knowledge of GAT,1 - 2 hours,2,Landscaping (such as lawn mowing),Landscaping,Landscaping,,,,,,,,1,,,,#VALUE!,,,,,,1,,Yes,Somewhat,Weekly,Weekly,,
,,,35 - 50,2,Female,2,2,0,No,No,0,,,0,,,0,3,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,3,"Around town (not in a specific location, but not when I am in my own yard)",,5,8,"west nile, zika",1,in standing water,1,female adeus mosquito,0,2,,Yes,1,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,No,0,"No, never",0,,No,0,Yes,2,"In-person education,GAT deployment efforts,Block-captain organizing",1,,Yes,2,Yes,2,3,3,6,More volunteers to assist residents with mosquito control in their yards,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,,,,2 - 4 hours,3,"Landscaping (such as lawn mowing),Exercise (including walks around the neighborhood)","Landscaping ,Exercise ",Landscaping,Exercise,,,,,,,2,,"Hiking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Outdoor-focused travel ",Hiking,Outdoor-focused travel,,,,,2,,Yes,Yes,Weekly,Weekly,,
,,,50 - 65,3,Female,2,5,1,Yes,Yes,1,1,2,3,1,0,1,16,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,2,5,West Nile virus,1,Standing water,1,Dk,0,2,,No,0,Yes,1,2017,1,2017,,,,,No,No,0,"Yes, regularly",1,,No,0,Somewhat,1,"GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Not sure,1,,#N/A,4,5,9,"Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,They make being outside unpleasant",4,Directions unclear,I do not have enough information,Not clear if easy to maintain,2 - 4 hours,3,"Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,4,,"Hiking,Other outdoor activities (please describe)","Hiking,Other outdoor activities ",Hiking,Other outdoor activities,,,,,2,Biking,Yes,Yes,Daily,Daily,,
,,,35 - 50,2,Female,2,5,2,Yes,Yes,1,1,0,1,1,0,1,3,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,3,8,West Nile and I don't know the rest,1,Anywhere,0,I don't know,0,1,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,Yes,1,"No, never",0,,No,0,No,0,,1,,No,0,,#N/A,1,1,2,"Town-wide chemical spray,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They make being outside unpleasant",2,Don't know what it is,I do not know what it is,What is GAT?,2 - 4 hours,3,"Play with or supervise children playing outdoors,Sitting in an outdoor space, such as a patio or porch","Play with or supervise children playing outdoors,Sitting in an outdoor space, such as a patio or porch",Play with or supervise children playing outdoors,Sitting in an outdoor space,such as a patio or porch,,,,,,3,,"None,Fishing","None,Fishing",None,Fishing,,,,,2,,Yes,Yes,Weekly,Weekly,,
